id,s_fs_lev,level_description,s_fs_name_v
6305,8.0,bachelor,Bachelor of Nursing
6306,3.0,certificate iii,Retail.  Cert 3
6307,3.0,certificate iii,Flooring Technology
6308,6.0,diploma,Midwife
6309,3.0,certificate iii,Companion animal studies
6310,6.0,diploma,Diploma OHS
6311,2.0,certificate ii,Food certificate 2
6312,8.0,bachelor,bachelor of nursing
6313,4.0,certificate iv,Cert 4 Plumbing
6314,8.0,bachelor,Arts/Law degree
6315,3.0,certificate iii,To further better myself for future opportunities
6316,1.0,certificate i,EAL 1
6317,8.0,bachelor,Bachelor of Exercise and Sports Science and Business (Sport Management) at Deakin University. Commenced in 2016
6318,4.0,certificate iv,Cert 4 in plumbing
6319,6.0,diploma,Diploma of Justice
6320,3.0,certificate iii,Cert iii in individual support
6321,2.0,certificate ii,Hospitality Kitchen Operations Units 3/4. I have completed units 1/2 in the previous year.
6322,6.0,diploma,Diploma of early childhood education and care
6323,7.0,advanced diploma,Advanced diploma in screen and media
6324,8.0,bachelor,Bachelor of nursing
6325,10.0,,Volunteer for Work
6326,3.0,certificate iii,Business
6327,6.0,diploma,Diploma of beauty therapy
6328,3.0,certificate iii,Certificate III in Business
6329,6.0,diploma,Diploma of Justice
6330,2.0,certificate ii,Motor mechanics
6331,3.0,certificate iii,Stablehand cert 3
6332,7.0,advanced diploma,Advanced Diploma of community Sector Management
6333,2.0,certificate ii,Cert II in automotive electrical technology
6334,6.0,diploma,Diploma of Accounting
6335,3.0,certificate iii,Certificate three
6336,4.0,certificate iv,Cert IV in training and assessment
6337,6.0,diploma,Diploma of Legal Services
6338,6.0,diploma,Diploma in early childhood education and care
6339,6.0,diploma,Diploma of beauty therapy
6340,3.0,certificate iii,The Same one
6341,6.0,diploma,Diploma of Justice
6342,8.0,bachelor,Bachelor of Civil Engineering/Bachelor of Business
6343,4.0,certificate iv,Accounting
6344,8.0,bachelor,Bachelor of nursing
6345,7.0,advanced diploma,Graduate Diploma of Psychology Advanced
6346,8.0,bachelor,Bachelor of business (Human resource management)
6347,2.0,certificate ii,Certificate II in EAL
6348,4.0,certificate iv,Certificate IV Education Support and Disability
6349,2.0,certificate ii,Pre app carpenter
6350,4.0,certificate iv,It is still the allied health assistance course but a different stream at a different campus
6351,7.0,advanced diploma,Advanced Diploma of Cyber Security at Box Hill Institute.
6352,9.0,higher than a degree,Masters of Early Childhood Teaching
6353,6.0,diploma,Diploma of Dementia Care
6354,6.0,diploma,Diploma in childcare
6355,4.0,certificate iv,Certificate 4 in Business. Continuation at the same workplace
6356,6.0,diploma,construction management
6357,8.0,bachelor,Bachelor of science
6358,3.0,certificate iii,Carpentry
6359,4.0,certificate iv,Nathers
6360,3.0,certificate iii,Certificate III in electrical (apprenticeship)
6361,6.0,diploma,Building diploma Australia
6362,6.0,diploma,Diploma of Accounting
6363,9.0,higher than a degree,"disclosing would identify me, and not make this an anonymous survey"
6364,4.0,certificate iv,Cert 4 Building & Construction
6365,1.0,certificate i,Medical termonology
6366,3.0,certificate iii,Carpentry and formwork I have completed this as well and later in the year I will be enrolling in a diploma
6367,6.0,diploma,Diploma of Community Services
6368,4.0,certificate iv,Information Technology
6369,4.0,certificate iv,Finance and mortgage broking
6370,2.0,certificate ii,Cert II in Automotive Servicing Technology
6371,3.0,certificate iii,Light Vehicle (unsure)
6372,10.0,,King Barber shop
6373,8.0,bachelor,Bachelor od Veterinary and Wildlife Science
6374,6.0,diploma,Diploma in community services
6375,8.0,bachelor,Bachelor of Dementia
6376,4.0,certificate iv,Disability certificate llll
6377,6.0,diploma,Diploma of child youth and family intervention
6378,6.0,diploma,Diploma of community srevices
6379,3.0,certificate iii,My second year of my certificate 3  motorcycle course
6380,2.0,certificate ii,Preapprenticeship in plumbing
6381,6.0,diploma,Diploma of Community Services
6382,4.0,certificate iv,Certificate 4 in science
6383,3.0,certificate iii,Individual support.
6384,9.0,higher than a degree,Bachelor of Criminal justice
6385,6.0,diploma,Diploma in Music Industry (performance)
6386,8.0,bachelor,Occupational Therapy
6387,4.0,certificate iv,Tertiary science preparation
6388,8.0,bachelor,Bahelor Social Science
6389,8.0,bachelor,Bachelor of Nusring
6390,6.0,diploma,building and construction diploma
6391,6.0,diploma,Diploma of health science
6392,3.0,certificate iii,cert 3 individual support
6393,4.0,certificate iv,Cert IV Youth work with GenU
6394,4.0,certificate iv,Certificate IV in Business
6395,7.0,advanced diploma,Advanced Diploma of Screen and Media
6396,7.0,advanced diploma,Advanced Diploma in Screen and Media
6397,4.0,certificate iv,TAE40116 Cert IV in Training and Assessment
6398,3.0,certificate iii,Certificate III in Visual Arts.
6399,10.0,,Watercolour Course
6400,6.0,diploma,Diploma of Sports Development with SEDA Group
6401,3.0,certificate iii,English course
6402,4.0,certificate iv,Computer science and technogly
6403,8.0,bachelor,Project Management
6404,7.0,advanced diploma,Advanced Diploma of Screen and Media
6405,4.0,certificate iv,Certificate IV in Professional Writing & Editing
6406,9.0,higher than a degree,Masters of Accountancy
6407,4.0,certificate iv,Certificate 4 accounting
6408,8.0,bachelor,Bachelor of Construction Management
6409,6.0,diploma,Diploma in early childhood education and care
6410,1.0,certificate i,BAKING COURSE
6411,4.0,certificate iv,Cert 4 in Youth Work
6412,4.0,certificate iv,CYBER SECURITY
6413,3.0,certificate iii,Cert 3 in electro technology
6414,3.0,certificate iii,Certificate III in Electrotechnology
6415,8.0,bachelor,Bachelor of health sciences
6416,4.0,certificate iv,Cert iv in building and construction
6417,8.0,bachelor,Bachelor of Nursing
6418,6.0,diploma,diploma in visual merchandising
6419,7.0,advanced diploma,Advanced Diploma of Accounting
6420,6.0,diploma,Diploms Information Technology
6421,10.0,,EAL II (Employment)
6422,6.0,diploma,Diploma of information Technology
6423,3.0,certificate iii,Certificate III in Auslan
6424,3.0,certificate iii,Certificate 3 in Agriculture
6425,4.0,certificate iv,Vet Nursing Cert IV
6426,4.0,certificate iv,Cert iv vet nursing
6427,6.0,diploma,Nursing
6428,3.0,certificate iii,finishing the building course i started
6429,8.0,bachelor,Master of Teaching Primary and Secondary
6430,10.0,,I m studying the same course. Advanced Diploma in legal Practice.
6431,2.0,certificate ii,22261VIC Certificate II in Electrotechnology
6432,3.0,certificate iii,Certificate III in business
6433,3.0,certificate iii,Automotive Technician
6434,4.0,certificate iv,Mental health
6435,8.0,bachelor,Bachelor of nursing
6436,4.0,certificate iv,IT
6437,2.0,certificate ii,Furniture making and sport and recreation (2 courses)
6438,6.0,diploma,Diploma of interior design
6439,3.0,certificate iii,Cert 3 in agriculture   AG SCHOOLS   Wodonga Tafe
6440,3.0,certificate iii,Certificate 3 in Agriculture  Certificate 4 in wool classing
6441,2.0,certificate ii,22251 vic certificate 11 in EAL( Access)
6442,3.0,certificate iii,Cert 3 in mechanics
6443,4.0,certificate iv,Building and construction
6444,9.0,higher than a degree,Bachelor of nursing and midwifery
6445,4.0,certificate iv,Cert 4 gas
6446,8.0,bachelor,Bachelor of Nursing
6447,4.0,certificate iv,Companion animal services
6448,7.0,advanced diploma,Advanced diploma of community sector management
6449,6.0,diploma,Childcare
6450,8.0,bachelor,Bachelor of Health Sciences
6451,1.0,certificate i,Certificate in Medical Reception and Terminology
6452,6.0,diploma,Diploma of early childhood education and care
6453,4.0,certificate iv,Cert IV visual arts
6454,3.0,certificate iii,Certificate III Instrumentation & Control
6455,3.0,certificate iii,Certificate III in hairdressing
6456,6.0,diploma,Nursing
6457,4.0,certificate iv,Cert 4 in Business
6458,9.0,higher than a degree,PhD
6459,8.0,bachelor,Bachelor of Applied Business
6460,2.0,certificate ii,Certificate 2 in EAL (Access)
6461,6.0,diploma,Diploma of youth work
6462,3.0,certificate iii,Certificate III in Photography
6463,6.0,diploma,Diploma in building and construction
6464,8.0,bachelor,Bachelor Arts
6465,3.0,certificate iii,Certificate  three in  education support
6466,10.0,,REIV Agents Representative Course
6467,7.0,advanced diploma,Advanced Diploma of Building Design (Architectural)
6468,8.0,bachelor,Bachelor of Environmental Engineering (Honours)
6469,3.0,certificate iii,carpentry
6470,3.0,certificate iii,Certificate 3 in Business Administration
6471,6.0,diploma,Buildering diplomats
6472,8.0,bachelor,Bachelor of Science
6473,3.0,certificate iii,Certificate 3 in community pharmacy
6474,6.0,diploma,Early childhood diploma course
6475,6.0,diploma,Commumity services
6476,6.0,diploma,Diploma of Dental Technology
6477,10.0,,Celta
6478,6.0,diploma,Diploma early year childhood education and care
6479,6.0,diploma,Information Technology
6480,2.0,certificate ii,Cert II in engineering (metal fabrication)
6481,3.0,certificate iii,Cert III in Health services Assistance
6482,3.0,certificate iii,English L3
6483,7.0,advanced diploma,Advanced diploma of screen and media Animation
6484,6.0,diploma,Diploma of Software Development
6485,4.0,certificate iv,Certificate 4 in Electronics and Communications
6486,6.0,diploma,Diploma in Building & Construction
6487,9.0,higher than a degree,Post Graduate Certificate in Teaching English to Speakers of other Languages (Masters in Education)
6488,3.0,certificate iii,Individual support for the Aged
6489,4.0,certificate iv,Certificate IV in Education Support
6490,3.0,certificate iii,Carpentry
6491,6.0,diploma,Early Childhood Education and Care
6492,6.0,diploma,Diploma of Nursing
6493,6.0,diploma,Diploma early childhood education and care
6494,6.0,diploma,Diploma of community services
6495,8.0,bachelor,Paramedicine
6496,6.0,diploma,Current course - finishing this year part time
6497,6.0,diploma,Diploma of nursing
6498,8.0,bachelor,bachelor of nursing
6499,6.0,diploma,Diploma in early childhood education and care
6500,6.0,diploma,Travel and tourism
6501,3.0,certificate iii,Building and construction
6502,3.0,certificate iii,Travel
6503,7.0,advanced diploma,Advanced Diploma in Community Sector Management
6504,6.0,diploma,Professional Artist's Program (also with Oxygen College)
6505,9.0,higher than a degree,Social work
6506,4.0,certificate iv,Certificate IV in Community Services
6507,6.0,diploma,Diploma of mental health with JTI institute
6508,7.0,advanced diploma,Advanced diploma of accounting
6509,2.0,certificate ii,Building and Construction
6510,4.0,certificate iv,Cyber security course but in a better tafe.
6511,8.0,bachelor,Double Bachelor of computer science and games interactivity at Swinburne
6512,8.0,bachelor,CQ26 - Bachelor of Occupational Health and Safety
6513,4.0,certificate iv,Certificate IV Accounting and Bookkeeping
6514,8.0,bachelor,Bachelor of Nursing
6515,6.0,diploma,Diploma of finance and mortgage broking management
6516,7.0,advanced diploma,Advanced diploma in community sector management
6517,6.0,diploma,Diploma of Community Services (at RMIT)
6518,4.0,certificate iv,DIPLOMA OF COMMUNITY SERVICES
6519,3.0,certificate iii,Cert 3 in Commercial Cookery
6520,6.0,diploma,Diploma in Leadership and Management Diploma in Project Management
6521,6.0,diploma,Diploma in Beauty therapy
6522,8.0,bachelor,Bachelor of Commerce
6523,6.0,diploma,Diploma of community service  And Diploma community development  And Community leadership
6524,5.0,vce or vcal,yr12 at Skillsplus.
6525,7.0,advanced diploma,Advanced diploma of game design
6526,10.0,,Introduction to pattern making
6527,4.0,certificate iv,Allied Health Assistance
6528,10.0,,Be You.  Emerging Minds. Strategies for Managing Abuse Related Trauma. Pain Management and Anxiety.
6529,4.0,certificate iv,Cyber security
6530,8.0,bachelor,Bachelor of Construction Management
6531,3.0,certificate iii,Cert III IN INDIVIDUAL SUPPORT
6532,4.0,certificate iv,Cert lV Disability
6533,4.0,certificate iv,Cert IV in Alcohol and Other Drugs
6534,3.0,certificate iii,Cert 111 in Driving operations
6535,4.0,certificate iv,transport and logistics
6536,6.0,diploma,Remedial massage  or beauty Dipoloma
6537,3.0,certificate iii,Cert 3 in plumbing
6538,4.0,certificate iv,Education support course
6539,3.0,certificate iii,Whterproofing
6540,4.0,certificate iv,Same
6541,8.0,bachelor,Bachelor of education - Primary
6542,6.0,diploma,Advance Diploma of community Management Sector
6543,7.0,advanced diploma,Advanced Diploma of Visual Arts
6544,4.0,certificate iv,Certificate 4 in disability.
6545,7.0,advanced diploma,Advanced diploma of visual arts
6546,8.0,bachelor,Chinese medicine
6547,3.0,certificate iii,Business and account administration
6548,4.0,certificate iv,Cert 4 leisure and lifestyle
6549,3.0,certificate iii,Certificate 3 Electrotechnology
6550,4.0,certificate iv,Cert four plumbing drainage
6551,3.0,certificate iii,Certificate 3 in  EAL( Access)
6552,8.0,bachelor,bachelor of arts
6553,2.0,certificate ii,certificate 2 in hospitality
6554,10.0,,Child youth family Intervention
6555,2.0,certificate ii,Business
6556,4.0,certificate iv,Certification iv in disability
6557,4.0,certificate iv,Cert IV Ed Support
6558,6.0,diploma,Diploma of beauty therapy
6559,4.0,certificate iv,Certificate IV in Allied Health Assistance
6560,6.0,diploma,Nursing
6561,3.0,certificate iii,Parks and garden certificate 3
6562,5.0,vce or vcal,Vce year 12
6563,3.0,certificate iii,Visual Arts Certificate 3
6564,10.0,,The performance edge
6565,5.0,vce or vcal,learning - language and numeracy
6566,1.0,certificate i,English
6567,6.0,diploma,Mental health online
6568,3.0,certificate iii,I don t know
6569,3.0,certificate iii,Certificate III in Patisserie.
6570,9.0,higher than a degree,Bachelor of Songwriting and Music Production
6571,4.0,certificate iv,TAE
6572,8.0,bachelor,Electrical Engineering
6573,8.0,bachelor,bachelor sport science (human movement)/sport management
6574,6.0,diploma,Diploma of Visual Arts: Illustration
6575,8.0,bachelor,B of Commerce
6576,6.0,diploma,auslan diploma
6577,8.0,bachelor,Bachelor of Sports Science
6578,6.0,diploma,Diploma of Nursing
6579,5.0,vce or vcal,VCE Year 11
6580,4.0,certificate iv,Cerificate lV Professional  Writing and Editing.
6581,3.0,certificate iii,Education Support
6582,7.0,advanced diploma,Advanced diploma electronics and comunication engineering
6583,6.0,diploma,Diploma of early childhood education and care
6584,6.0,diploma,Diploma in early childhood education and care
6585,1.0,certificate i,Certificate I in Work Education
6586,3.0,certificate iii,Diploma in Early Childhood education and care
6587,8.0,bachelor,Bachelor of Design (architecture)
6588,6.0,diploma,diploma in Accounting
6589,2.0,certificate ii,Cert 2 EAL
6590,8.0,bachelor,Bachelor of nursing
6591,7.0,advanced diploma,Advanced Diploma of Building Surveying
6592,8.0,bachelor,Bachelor of nursing ACU
6593,1.0,certificate i,Traffic management
6594,6.0,diploma,Diploma of nursing
6595,8.0,bachelor,Bachelor of Biomedical Science
6596,4.0,certificate iv,Engineering - Metal Fabrication
6597,6.0,diploma,Diploma of remedial massage
6598,6.0,diploma,Diploma of building and construction
6599,9.0,higher than a degree,Doctor of Veterinary Medicine
6600,6.0,diploma,Diploma of Nutrition
6601,8.0,bachelor,Bachelor of Arts (Fine Arts) Honours
6602,9.0,higher than a degree,Master public health
6603,3.0,certificate iii,Certificate 3 Building and Construction - Carpentry
6604,7.0,advanced diploma,Diploma of nursing
6605,5.0,vce or vcal,"Vcal. Intermediate At Bendigo tafe,  btec"
6606,8.0,bachelor,Bachelor of business
6607,6.0,diploma,Diploma of Accounting
6608,8.0,bachelor,"Bachelor of Business, major in Marketing"
6609,6.0,diploma,Dip in Comm Services
6610,6.0,diploma,Diploma of Atrs and communication
6611,5.0,vce or vcal,Chisholm Rising star basketball academy Vcal senior
6612,3.0,certificate iii,Studying fitness & personal training.
6613,4.0,certificate iv,Real Estate Agent License
6614,6.0,diploma,Diploma of IT
6615,10.0,,Government Court services
6616,5.0,vce or vcal,Senior
6617,3.0,certificate iii,Certificate 3 in business admin
6618,7.0,advanced diploma,animation
6619,7.0,advanced diploma,Advance Diploma In Conveyancing
6620,6.0,diploma,Diploma of web development
6621,6.0,diploma,Diploma in early childhood education and care
6622,6.0,diploma,Diploma of Leadership and Management
6623,6.0,diploma,Diploma of counselling
6624,4.0,certificate iv,3E
6625,6.0,diploma,Diploma of Building and Construction
6626,4.0,certificate iv,Certificate 4 In Youth Work
6627,3.0,certificate iii,early childhood
6628,6.0,diploma,Diploma of Screen & Media
6629,3.0,certificate iii,Certificate III in Electrotechnology Electrician
6630,3.0,certificate iii,General Plumbing
6631,8.0,bachelor,Bachelor of Environmental Science
6632,3.0,certificate iii,Make-up artist
6633,6.0,diploma,Commerce
6634,7.0,advanced diploma,Advanced diploma of community management sector
6635,8.0,bachelor,Bachelor of Medical Science
6636,4.0,certificate iv,Certificate IV in Disability
6637,8.0,bachelor,Bachelor of Social Studies - Security and Counter Terrorism
6638,4.0,certificate iv,Cert 4 in allied assistance
6639,4.0,certificate iv,Certificate IV in Gas Supply Operations
6640,6.0,diploma,Diploma of bioscience
6641,8.0,bachelor,BA Costume Production and Associated Crafts
6642,4.0,certificate iv,Certificate IV In Disability Support Worker
6643,3.0,certificate iii,Electrotechnology Electrician course 30811
6644,6.0,diploma,Diploma of nursing
6645,2.0,certificate ii,writing and speaking English
6646,8.0,bachelor,Community mental health AOD
6647,6.0,diploma,Diploma
6648,6.0,diploma,Diploma in children services
6649,8.0,bachelor,Bachelor Of Arts
6650,4.0,certificate iv,Certificate 4 Automotive business management.
6651,6.0,diploma,Diploma in Surveying
6652,6.0,diploma,Screen and Media (interactive)
6653,4.0,certificate iv,Disability  level 4
6654,8.0,bachelor,Bachelor of Veterinary Nursing
6655,9.0,higher than a degree,Master of Education (Teacher Librarianship)
6656,8.0,bachelor,Aged care
6657,10.0,,Best restaurant training RSA
6658,6.0,diploma,Diploma of Photography & Photo Imaging
6659,1.0,certificate i,Cert 1in transition Ed.
6660,4.0,certificate iv,Hi engeering
6661,6.0,diploma,Diploma of Graphic Design
6662,1.0,certificate i,Individual support
6663,2.0,certificate ii,Certificate 2 in speaking and writing English
6664,2.0,certificate ii,Certificate II in Trackriding
6665,3.0,certificate iii,Cert III in Plumbing
6666,4.0,certificate iv,TAE40116 - Certificate IV in Training and Assessment
6667,6.0,diploma,Diploma of Digital and Interactive game design
6668,3.0,certificate iii,Hospitality
6669,5.0,vce or vcal,VCAL
6670,8.0,bachelor,Bachelor of Science (Physics)
6671,3.0,certificate iii,plumbing
6672,4.0,certificate iv,Certificate IV in Laboratory Techniques
6673,8.0,bachelor,Bachelor of nursing
6674,3.0,certificate iii,Cert lll individual support
6675,4.0,certificate iv,Cert IV in Accounting and Bookkeeping
6676,7.0,advanced diploma,Advanced Diploma of Professional Game Development
6677,8.0,bachelor,Batchelor of Nursing (Enrolled Nurses)
6678,6.0,diploma,Diploma in Accounting
6679,4.0,certificate iv,TAE40116 CERTIFICATE IV IN TRAINING AND ASSESSMENT
6680,6.0,diploma,Diploma of Nursing
6681,3.0,certificate iii,Arbourculture
6682,6.0,diploma,Conservation and Land Management
6683,3.0,certificate iii,Certificate 3 in Pathology.
6684,6.0,diploma,Diploma in Professional Writing and Editing
6685,6.0,diploma,Quality of Quality Auditing
6686,4.0,certificate iv,Veterinary nursing
6687,5.0,vce or vcal,VCE units 3/4
6688,4.0,certificate iv,Leisure and health
6689,8.0,bachelor,Bachelor of business majoring in marketing
6690,8.0,bachelor,Applied Bachelor of International Business
6691,2.0,certificate ii,Cert 2 refrigeration & air conditioning
6692,1.0,certificate i,transition to work
6693,6.0,diploma,Diploma of Community Services
6694,8.0,bachelor,Bachelor of Human Services
6695,7.0,advanced diploma,Advanced diploma of Mechanical Engineering
6696,6.0,diploma,Early childhood education
6697,6.0,diploma,Diplomat of fashion design and merchandising
6698,4.0,certificate iv,Cert 4 Disability
6699,4.0,certificate iv,Certificate IV in Disability
6700,8.0,bachelor,Bachelor of Business (Marketing)
6701,3.0,certificate iii,Cert 3 Barbering
6702,10.0,,Neighborhood house in traralgon Art workshop Cooking Designing illustration
6703,3.0,certificate iii,Panel beating
6704,7.0,advanced diploma,Advanced diploma of sound production
6705,7.0,advanced diploma,Advanced Diploma Music Industry
6706,6.0,diploma,Diploma of Building and Construction
6707,4.0,certificate iv,Certificate 4 in Mechanical Engineering
6708,6.0,diploma,business
6709,6.0,diploma,Diploma in building and construction
6710,3.0,certificate iii,Certificate 3 in tiling
6711,8.0,bachelor,Psychological science
6712,8.0,bachelor,Bachelor of Applied Science (Surveying) (Honours)
6713,5.0,vce or vcal,Vcal
6714,8.0,bachelor,Bachelor of Nursing
6715,3.0,certificate iii,cert III engineering - fabrication metal (blacksmithing)
6716,8.0,bachelor,Animal and veterinary bioscience
6717,2.0,certificate ii,Certificate II
6718,6.0,diploma,Diploma in community services
6719,4.0,certificate iv,Community Services cert IV
6720,3.0,certificate iii,Cert III Individual support
6721,6.0,diploma,Diploma of Nursing - Holmesglenn
6722,2.0,certificate ii,Cert 2 in electrotechnology
6723,6.0,diploma,Early childhood education and care
6724,4.0,certificate iv,Operating theatre technician (surgery)
6725,3.0,certificate iii,CSWE3
6726,3.0,certificate iii,Level III
6727,8.0,bachelor,Bachelor of Human Services
6728,4.0,certificate iv,Cert Iv community pharmacy retail management
6729,2.0,certificate ii,Automotive
6730,7.0,advanced diploma,Advanced Diploma in Music
6731,4.0,certificate iv,Disabilty also CertIV NDIS
6732,9.0,higher than a degree,Not applicable
6733,8.0,bachelor,civil eng
6734,6.0,diploma,Diploma of Visual Arts
6735,8.0,bachelor,Bachelor of Music
6736,2.0,certificate ii,Pre app electro technology
6737,8.0,bachelor,Early childhood/Primary teaching
6738,3.0,certificate iii,Plumbing
6739,3.0,certificate iii,CERTIFICATE III IN HEAVY COMMERCIAL VEHICLE MECHANICAL TECHNOLOGY
6740,7.0,advanced diploma,Engineering of electro technology
6741,8.0,bachelor,i am studying Bachelor of Art and Education at Vic uni in Footscray park
6742,3.0,certificate iii,Cert 3
6743,10.0,,Barista and coffee training
6744,3.0,certificate iii,Certificate II into electrotechnology
6745,9.0,higher than a degree,Bachelor of nursing
6746,6.0,diploma,Diploma of Nursing
6747,2.0,certificate ii,Electrical certificate
6748,10.0,,Rec course
6749,4.0,certificate iv,Mental Health
6750,6.0,diploma,Diploma of nursing
6751,8.0,bachelor,Bachelor of Physiotherapy
6752,7.0,advanced diploma,Advance diploma in community service
6753,6.0,diploma,Community services (case management)
6754,6.0,diploma,Diploma in early childhood education
6755,6.0,diploma,Diploma in jewellery and object design
6756,3.0,certificate iii,Hospitality
6757,8.0,bachelor,Bachelor of exercise and health science
6758,5.0,vce or vcal,Seinor vcal
6759,6.0,diploma,Diploma early childhood education and care
6760,8.0,bachelor,Vet science
6761,8.0,bachelor,Bachelor of IT at Rmit
6762,3.0,certificate iii,Cert III in Horticulture
6763,6.0,diploma,Diploma of account in Chisholm Dandenong compus
6764,8.0,bachelor,Bachelor of laws
6765,4.0,certificate iv,Cert IV in training & assessments
6766,7.0,advanced diploma,Advanced Diploma in Electrical Engineering
6767,6.0,diploma,beauty diploma
6768,5.0,vce or vcal,Vce
6769,8.0,bachelor,Bachelor of Health Science
6770,4.0,certificate iv,Certificate IV In Disability
6771,8.0,bachelor,Bachelor or animal an veterinary biosciences
6772,2.0,certificate ii,Competency Development
6773,4.0,certificate iv,Cert 4 Community Services
6774,8.0,bachelor,Bachelor of Fine Arts
6775,4.0,certificate iv,Cert 4 optical dispensing
6776,6.0,diploma,Diploma of Early Childhood Education and Care
6777,4.0,certificate iv,CerIV disability support
6778,4.0,certificate iv,Certificate 4 in Accounting
6779,7.0,advanced diploma,Graphic Design Advanced Diploma
6780,6.0,diploma,Nursing
6781,7.0,advanced diploma,advanced diploma of design and creative practice
6782,4.0,certificate iv,Certificate IV in Disability
6783,4.0,certificate iv,Cert IV Alcohol and other drugs
6784,8.0,bachelor,Bachelor of early education and care
6785,6.0,diploma,Community services
6786,4.0,certificate iv,Hospitality
6787,6.0,diploma,Diploma of earlychild hood education and care
6788,8.0,bachelor,Bachelor of Visual Communication
6789,3.0,certificate iii,I am still continuing heavy diesel mechanics I am only a second year there was no option for continuing at the start of the servay there was only competition or not
6790,3.0,certificate iii,Mechanical plumber
6791,8.0,bachelor,Associate degree
6792,4.0,certificate iv,Certificate 4 in Accounting and Bookkeeping
6793,3.0,certificate iii,Cert 3 in Auslan (I ll be starting next semester)
6794,4.0,certificate iv,CERT IV TAE update.
6795,3.0,certificate iii,Education support
6796,8.0,bachelor,Bachelor of Biomedical Science (Scholars) at Monash university.
6797,3.0,certificate iii,Same
6798,3.0,certificate iii,Bricklaying
6799,6.0,diploma,international business
6800,4.0,certificate iv,Community service
6801,4.0,certificate iv,Cert IV Disability Support
6802,2.0,certificate ii,Certificate II in EAL
6803,4.0,certificate iv,"work , health & safety"
6804,9.0,higher than a degree,Bachelor Teaching
6805,4.0,certificate iv,Cert 4 in leisure and health
6806,3.0,certificate iii,Certificate ||| in EAL (Access)
6807,6.0,diploma,Diploma of Nursing
6808,6.0,diploma,Business Enterprise
6809,3.0,certificate iii,Traffic management and Control
6810,4.0,certificate iv,cilengineering
6811,7.0,advanced diploma,Advanced diploma in Cyber security at Box Hill Institute
6812,9.0,higher than a degree,Graduate diploma in early childhood education.
6813,8.0,bachelor,Bachelor of ICT
6814,4.0,certificate iv,Accounting and Bookkeeping
6815,1.0,certificate i,Certificate I in General Education for Adults
6816,3.0,certificate iii,Automotive business management
6817,6.0,diploma,Enroled Nursing
6818,10.0,,CHC43415 CERTIFICATE IV in Leisure and Health
6819,8.0,bachelor,Bachelor in nursing
6820,6.0,diploma,Diploma of community services
6821,6.0,diploma,Diploma community of services
6822,5.0,vce or vcal,year 12 no vet
6823,4.0,certificate iv,Cert 4 management
6824,8.0,bachelor,Bachelor of nursing
6825,5.0,vce or vcal,Vcal Year 12
6826,8.0,bachelor,Bachelor of nursing
6827,6.0,diploma,diploma in community services
6828,10.0,,FAST
6829,8.0,bachelor,Media and Communications
6830,4.0,certificate iv,Cert IV in education support
6831,3.0,certificate iii,"Cert 3 in Animal Studies, Veterinary Nursing"
6832,4.0,certificate iv,bread making
6833,5.0,vce or vcal,VCAL Visual Arts and Photography Senior
6834,3.0,certificate iii,Certificate 3 Electrictechnology
6835,4.0,certificate iv,Certificate 4 in education
6836,8.0,bachelor,Bachelor of Screen Production
6837,3.0,certificate iii,plumbing
6838,6.0,diploma,Community services
6839,3.0,certificate iii,P-Tech cert 3 technology
6840,6.0,diploma,Diploma in Community Services
6841,4.0,certificate iv,Cert 4 Celebrancy
6842,4.0,certificate iv,Cert 4 in interior decoration and design
6843,4.0,certificate iv,Cert 4 in sterilisation
6844,4.0,certificate iv,Cetificate IV in Disability
6845,5.0,vce or vcal,Year 12
6846,9.0,higher than a degree,Grad Dip
6847,6.0,diploma,Dunno
6848,3.0,certificate iii,Certificate III in health services
6849,5.0,vce or vcal,Vce year 11
6850,6.0,diploma,Diploma of nursing
6851,8.0,bachelor,Bachelor of Creative Arts (Visual Arts)
6852,8.0,bachelor,Bachelor of Information Technology
6853,4.0,certificate iv,Dental radiography
6854,5.0,vce or vcal,VCAL SENIOR (Year 12 Equivilance)
6855,3.0,certificate iii,Certificate of anti aging support
6856,3.0,certificate iii,Certificate III In Carpentry
6857,3.0,certificate iii,Electro technology
6858,6.0,diploma,Mortgage Broking
6859,6.0,diploma,Diploma of beauty therapy
6860,5.0,vce or vcal,Vcal
6861,9.0,higher than a degree,Graduate certificate in mental health
6862,3.0,certificate iii,Animal Studies
6863,6.0,diploma,management
6864,3.0,certificate iii,Businees
6865,3.0,certificate iii,Electrotechnology
6866,4.0,certificate iv,Sanitary drainage
6867,9.0,higher than a degree,TESOL
6868,8.0,bachelor,Bachelor of Design
6869,3.0,certificate iii,Civil construction
6870,7.0,advanced diploma,Advanced Diploma of Computer Systems Engineering
6871,5.0,vce or vcal,VCE
6872,9.0,higher than a degree,postgraduate certificate in arts and cultural management
6873,8.0,bachelor,Bachelor of Nursing
6874,3.0,certificate iii,Companion Animal Studies
6875,6.0,diploma,Hair dressing
6876,1.0,certificate i,Certificate l in eal access
6877,3.0,certificate iii,"ICT Cert 3, sorry if that's not the exact name. have to go to bed so i can't turn on phone now"
6878,6.0,diploma,Diploma of Chinese
6879,9.0,higher than a degree,Graduate Certificate in International Relations
6880,10.0,,Understanding dementia university of TAS
6881,4.0,certificate iv,Certificate IV in Plumbing
6882,2.0,certificate ii,Certificate 2 in work education
6883,6.0,diploma,Interior design and decoration
